"nba jam 2000        ","NBA Jam 2000"
"nba live 99         ","NBA Live '99"
"nba live 2000       ","NBA Live 2000"
"nba pro 98          ","NBA Pro '98"
"nba pro 99          ","NBA Pro '99"
"nba showtime        ","NBA Showtime"
"nfl blitz           ","NFL Blitz"
"blitz2k             ","NFL Blitz 2000"
"quarterback club 98 ","NFL Quarterback Club '98"
"quarterback_club_98 ","NFL Quarterback Club '98"
"nfl quarteback 98   ","NFL Quarterback Club '98"
"nfl qbc '99         ","NFL Quarterback Club '99"
"nfl qbc 2000        ","NFL Quarterback Club 2000"
"nhl 99              ","NHL '99"
"nhl_breakaway_98    ","NHL Breakaway '98"
"nhl breakaway 98    ","NHL Breakaway '98"
"nhl breakaway '99   ","NHL Breakaway '99"
"nhl breakaway 99    ","NHL Breakaway '99"
"nhl pro 99          ","NHL Pro '99"
"nightmare creatures ","Nightmare Creatures"
"nuclearstrike64     ","Nuclear Strike 64"
"offroad             ","Offroad Challenge"
"ogrebattle64        ","Ogre Battle 64"
"olympic hockey      ","Olympic Hockey Nagano '98"
"onegai monster      ","Onegai Monsters"
"pachinko365nichi    ","Pachinko 365 Nichi"
"parlor pro 64       ","Parlor ! Pro 64"
"paperboy            ","Paperboy"
"pawafuru puroyakyu4 ","Pawafuru Puroyakyu 4 (Powerfull Baseball 4)"
"pawafuru puroyakyu5 ","Pawafuru Puroyakyu 5 (Powerfull Baseball 5)"
"pawafuru puroyakyu 5","Pawafuru Puroyakyu 5 (Powerfull Baseball 5)"
"pawafuru puroyakyu6 ","Pawafuru Puroyakyu 6 (Powerfull Baseball 6)"
"sp - penny racers   ","Penny Racers"
"penny racers        ","Penny Racers"
"perfect striker     ","Perfect Striker"
"pga european tour go","PGA European Tour Golf"
"pikachu genkidechu  ","Pikachu Genki Dechu"
"pilot wings64       ","Pilot Wings 64"
"pilot wings 64      ","Pilot Wings 64"
"pokemon stadium 2   ","Pokemon Stadium 2"
"powerleague64       ","Power League 64"
"power league 64     ","Power League 64"
"premier manager 64  ","Premier Manager 64"
"proyakyuking        ","Proyakyu King Baseball"
"proyakyu king       ","Proyakyu King Baseball"
"proyakyukingbaseball","Proyakyu King Baseball"
"puyo puyo sun 64    ","Puyo Puyo Sun 64"
"puyo puyo sun jap   ","Puyo Puyo Sun 64"
"puzzlebobble64      ","Puzzle Bobble"
